Date,Open,High,Low,Close,Adj Close,Volume
2023-08-02,1933.000000,1933.500000,1856.625000,1869.925049,1849.403564,1960584
2023-08-03,1869.449951,1896.525024,1850.775024,1883.275024,1862.607056,1441748
2023-08-04,1892.500000,1899.974976,1870.150024,1875.000000,1854.422852,1013752
2023-08-07,1882.500000,1889.925049,1872.500000,1876.025024,1855.436523,1035448
2023-08-08,1885.000000,1897.349976,1870.875000,1887.875000,1867.156494,790866
2023-08-09,1893.000000,1919.574951,1881.050049,1912.125000,1891.140381,1270686
2023-08-10,1911.500000,1930.000000,1891.175049,1895.824951,1875.019287,791856
2023-08-11,1906.050049,1934.425049,1881.525024,1895.500000,1874.697876,2200848
2023-08-14,1892.425049,1946.000000,1857.699951,1939.425049,1918.140869,2643174
2023-08-16,1940.025024,1957.500000,1915.500000,1950.074951,1928.673828,1322556
2023-08-17,1954.500000,1964.125000,1930.699951,1934.625000,1913.393433,1116772
2023-08-18,1935.000000,1941.500000,1890.000000,1894.000000,1873.214233,1153394
2023-08-21,1893.925049,1916.875000,1890.425049,1910.425049,1889.459106,888908
2023-08-22,1913.900024,1954.099976,1911.050049,1945.724976,1924.371704,1811764
2023-08-23,1950.000000,2024.949951,1947.699951,2015.550049,1993.430420,5100426
2023-08-24,2067.500000,2067.500000,1978.449951,1982.724976,1968.289673,5055676
2023-08-25,1994.400024,2009.500000,1946.050049,1955.199951,1940.965088,2341784
2023-08-28,1965.000000,1979.800049,1950.000000,1957.625000,1943.372437,1480930
2023-08-29,1961.724976,1964.500000,1937.574951,1948.675049,1934.487671,1921322
2023-08-30,1964.000000,1979.000000,1950.025024,1952.650024,1938.433716,1591546
2023-08-31,1959.500000,1964.500000,1938.300049,1950.150024,1935.951904,1989702
2023-09-01,1959.900024,1989.400024,1954.500000,1970.875000,1956.526001,1778540
2023-09-04,1982.175049,2009.500000,1975.525024,1983.125000,1968.686768,2012218
2023-09-05,1989.400024,1992.500000,1971.599976,1976.425049,1962.035645,837472
2023-09-06,1980.800049,1999.349976,1975.525024,1994.724976,1980.202271,1215652
2023-09-07,2000.000000,2034.949951,1998.875000,2020.125000,2005.417480,2602116
2023-09-08,2029.949951,2069.449951,2025.500000,2052.774902,2037.829590,2895476
2023-09-11,2085.000000,2085.000000,2033.000000,2041.349976,2026.487915,1653588
2023-09-12,2050.000000,2050.925049,1965.000000,1970.400024,1956.054443,1895288
2023-09-13,1975.000000,1995.000000,1945.050049,1985.150024,1970.697144,1477608
2023-09-14,1991.974976,1994.750000,1970.000000,1979.099976,1964.691040,722168
2023-09-15,1986.949951,1988.875000,1970.050049,1973.824951,1959.454468,786220
2023-09-18,2050.000000,2055.574951,1978.925049,1991.800049,1977.298706,2944968
2023-09-20,1992.150024,2028.750000,1982.500000,1996.300049,1981.765869,2439714
2023-09-21,2003.349976,2012.000000,1950.800049,1957.724976,1943.471680,1535970
2023-09-22,1963.400024,1979.250000,1927.500000,1935.000000,1920.912231,1490806
2023-09-25,1943.300049,1944.699951,1907.500000,1927.500000,1913.466797,1657588
2023-09-26,1931.900024,1958.425049,1927.824951,1935.574951,1921.482910,1670334
2023-09-27,1937.000000,1941.824951,1916.000000,1918.849976,1904.879761,1706940
2023-09-28,1934.800049,1941.599976,1885.000000,1889.150024,1875.395996,1992076
2023-09-29,1898.000000,1942.750000,1897.099976,1928.150024,1914.112061,1147905
2023-10-03,1939.150024,1963.800049,1926.099976,1957.050049,1942.801636,2009422
2023-10-04,1957.050049,1958.949951,1888.000000,1916.250000,1902.298706,1825706
2023-10-05,1935.150024,1972.000000,1931.150024,1943.849976,1929.697754,1976433
2023-10-06,1945.150024,1964.000000,1943.000000,1956.099976,1941.858521,1029633
2023-10-09,1936.000000,1947.000000,1915.650024,1920.849976,1906.865112,824232
2023-10-10,1940.000000,1967.650024,1935.550049,1959.449951,1945.184082,1658275
2023-10-11,1964.800049,1980.000000,1957.500000,1961.599976,1947.318481,895385
2023-10-12,1961.599976,1974.599976,1958.000000,1968.449951,1954.118652,537987
2023-10-13,1960.000000,1990.000000,1955.050049,1975.099976,1960.720215,770978
2023-10-16,1974.050049,1979.949951,1956.800049,1963.300049,1949.006226,786576
2023-10-17,1972.849976,1972.900024,1960.099976,1963.699951,1949.403198,449525
2023-10-18,1965.000000,1984.050049,1950.000000,1962.650024,1948.360840,753713
2023-10-19,1957.000000,1965.500000,1946.099976,1953.900024,1939.674561,437558
2023-10-20,1945.900024,1954.550049,1905.050049,1912.699951,1898.774536,771497
2023-10-23,1912.699951,1917.800049,1841.099976,1845.300049,1831.865234,1149806
2023-10-25,1845.000000,1872.199951,1782.550049,1809.849976,1796.673340,1625270
2023-10-26,1795.000000,1831.849976,1767.800049,1819.449951,1806.203369,1478145
2023-10-27,1829.949951,1861.650024,1825.650024,1854.400024,1840.899048,1140613
2023-10-30,1870.000000,1870.000000,1830.050049,1834.599976,1821.243164,796456
2023-10-31,1836.000000,1848.000000,1818.650024,1823.050049,1809.777222,691198
2023-11-01,1828.849976,1831.750000,1819.000000,1822.699951,1809.429688,575637
2023-11-02,1835.000000,1858.300049,1823.000000,1855.449951,1841.941284,728430
2023-11-03,1865.750000,1904.900024,1857.000000,1901.750000,1887.904297,1032482
2023-11-06,1910.000000,1938.000000,1908.000000,1934.750000,1920.663940,975588
2023-11-07,1939.949951,2023.000000,1930.000000,2017.150024,2002.464111,2897381
2023-11-08,2026.949951,2048.000000,2008.750000,2044.550049,2029.664673,1748876
2023-11-09,2045.000000,2049.750000,2026.000000,2030.800049,2016.014771,679939
2023-11-10,2041.650024,2110.949951,1995.000000,2058.899902,2043.910034,4755794
2023-11-13,2072.000000,2075.000000,2041.800049,2060.350098,2045.349609,1183911
2023-11-15,2066.050049,2105.000000,2040.550049,2091.000000,2075.776367,1634396
2023-11-16,2092.850098,2155.000000,2085.000000,2114.300049,2098.906738,2450457
2023-11-17,2120.100098,2148.899902,2115.750000,2126.000000,2110.521484,1087862
2023-11-20,2137.300049,2167.000000,2116.000000,2146.600098,2130.971680,1452454
2023-11-21,2154.000000,2161.949951,2135.000000,2144.300049,2128.688477,832725
2023-11-22,2144.949951,2152.100098,2088.949951,2112.100098,2096.722900,1014171
2023-11-23,2116.949951,2159.000000,2107.649902,2146.250000,2130.624268,1259937
2023-11-24,2154.899902,2251.000000,2145.750000,2240.300049,2223.989502,2909879
2023-11-28,2309.000000,2334.350098,2266.000000,2287.000000,2270.349365,3488568
2023-11-29,2332.000000,2356.050049,2300.649902,2343.399902,2326.338623,2349730
2023-11-30,2369.899902,2444.000000,2307.000000,2379.800049,2362.473877,7273415
2023-12-01,2495.000000,2500.000000,2437.149902,2462.250000,2444.323486,4012398
2023-12-04,2534.000000,2534.500000,2473.000000,2519.399902,2501.057373,2351668
2023-12-05,2519.399902,2573.000000,2505.199951,2552.949951,2534.363037,1840576
2023-12-06,2559.000000,2754.149902,2556.550049,2714.600098,2694.836426,6078296
2023-12-07,2730.000000,2741.699951,2661.149902,2689.750000,2670.167236,2607706
2023-12-08,2700.000000,2783.199951,2690.050049,2733.649902,2713.747559,2833575
2023-12-11,2739.949951,2813.000000,2722.350098,2791.750000,2771.424561,2624284
2023-12-12,2805.149902,2820.250000,2715.300049,2739.899902,2719.951904,2393861
2023-12-13,2749.000000,2778.000000,2736.550049,2770.000000,2749.833008,1438726
2023-12-14,2785.000000,2813.550049,2765.149902,2773.000000,2752.811035,1193987
2023-12-15,2785.850098,2792.750000,2716.100098,2761.800049,2741.692627,1430382
2023-12-18,2760.000000,2849.750000,2752.250000,2813.100098,2792.619141,2920105
2023-12-19,2819.949951,2824.399902,2776.750000,2787.449951,2767.155762,1272030
2023-12-20,2797.949951,2819.949951,2651.000000,2665.899902,2646.490723,1947471
2023-12-21,2639.000000,2737.949951,2585.000000,2706.500000,2686.795166,2206814
2023-12-22,2723.000000,2727.000000,2677.600098,2703.699951,2684.015625,1000294
2023-12-26,2710.000000,2829.949951,2701.250000,2820.649902,2800.114014,2160870
2023-12-27,2832.949951,2836.949951,2788.000000,2808.199951,2787.754883,1156573
2023-12-28,2812.500000,2827.000000,2796.050049,2805.800049,2785.372314,1003223
2023-12-29,2807.899902,2830.000000,2784.000000,2804.000000,2783.585449,765894
2024-01-01,2805.100098,2859.899902,2805.100098,2826.350098,2805.772705,1038164
2024-01-02,2829.899902,2838.750000,2748.449951,2791.800049,2771.474365,1047639
2024-01-03,2763.000000,2886.550049,2763.000000,2870.000000,2849.104980,2164728
2024-01-04,2876.000000,2918.000000,2865.350098,2904.250000,2883.105469,1740167
2024-01-05,2980.000000,3079.000000,2965.100098,2998.850098,2977.016846,5560237
2024-01-08,3017.000000,3034.949951,2985.000000,2995.600098,2973.790527,1682520
2024-01-09,3020.000000,3074.800049,3001.000000,3010.250000,2988.333740,1979028
2024-01-10,3017.100098,3025.500000,2978.149902,3017.300049,2995.332520,1248563
2024-01-11,3029.899902,3042.850098,3013.000000,3020.449951,2998.459473,723628
2024-01-12,3030.000000,3030.000000,2991.000000,3001.949951,2980.094238,867631
2024-01-15,3016.000000,3039.199951,2985.000000,3030.550049,3008.486084,1135342
2024-01-16,3054.000000,3064.449951,2941.750000,2993.550049,2971.755371,2214293
2024-01-17,2980.000000,3008.100098,2931.800049,2958.300049,2936.761963,1643170
2024-01-18,2957.500000,2981.000000,2845.699951,2967.600098,2945.994385,2066487
2024-01-19,2985.000000,3032.000000,2982.199951,3028.149902,3006.103271,1203346
2024-01-23,3007.000000,3022.000000,2847.250000,2890.500000,2869.455566,1628038
2024-01-24,2889.949951,2941.949951,2820.000000,2931.449951,2910.107422,1330866
2024-01-25,2940.000000,2958.300049,2875.000000,2903.800049,2882.658936,1309130
2024-01-29,2910.000000,2985.000000,2903.899902,2976.949951,2955.276123,1213259
2024-01-30,2991.750000,3065.000000,2986.050049,3012.550049,2990.617188,1853804
